"id","区分","チャンク","チャンク日本語訳","例文番号","英文","例文日本語訳","音声ファイル"
"001-01","日常","Can I …?","…してもいい？","1","Can I use your phone for a minute, please?","","chunk-audio/001-01.mp3"
"001-02","日常","Can I …?","…してもいい？","2","Can I sit here, or are you waiting for someone?","","chunk-audio/001-02.mp3"
"001-03","ビジネス","Can I …?","…してもいい？","3","Can I ask a quick question before we begin?","","chunk-audio/001-03.mp3"
"002-01","日常","Could I …?","…してもよろしいですか？","1","Could I have some water, please?","","chunk-audio/002-01.mp3"
"002-02","日常","Could I …?","…してもよろしいですか？","2","Could I leave a little early today?","","chunk-audio/002-02.mp3"
"002-03","ビジネス","Could I …?","…してもよろしいですか？","3","Could I join the meeting remotely, if possible?","","chunk-audio/002-03.mp3"
"003-01","日常","Can you …?","…してくれる？","1","Can you help me carry this, please?","","chunk-audio/003-01.mp3"
"003-02","日常","Can you …?","…してくれる？","2","Can you text me when you get home?","","chunk-audio/003-02.mp3"
"003-03","ビジネス","Can you …?","…してくれる？","3","Can you send me the link again? I can’t find it.","","chunk-audio/003-03.mp3"
"004-01","日常","Could you …?","…していただけますか？","1","Could you speak a little more slowly?","","chunk-audio/004-01.mp3"
"004-02","ビジネス","Could you …?","…していただけますか？","2","Could you check this document for me?","","chunk-audio/004-02.mp3"
"004-03","ビジネス","Could you …?","…していただけますか？","3","Could you let me know by Friday, if possible?","","chunk-audio/004-03.mp3"
"005-01","日常","Would you …?","…していただけますか？","1","Would you like to come with us?","","chunk-audio/005-01.mp3"
"005-02","ビジネス","Would you …?","…していただけますか？","2","Would you review the proposal before the meeting?","","chunk-audio/005-02.mp3"
"005-03","ビジネス","Would you …?","…していただけますか？","3","Would you mind sharing your screen for a moment?","","chunk-audio/005-03.mp3"
"006-01","日常","Would you like …?","…はいかがですか？","1","Would you like some coffee?","","chunk-audio/006-01.mp3"
"006-02","日常","Would you like …?","…はいかがですか？","2","Would you like a seat by the window?","","chunk-audio/006-02.mp3"
"006-03","ビジネス","Would you like …?","…はいかがですか？","3","Would you like a copy of the presentation?","","chunk-audio/006-03.mp3"
"007-01","日常","Would you like to …?","…しませんか？","1","Would you like to have lunch together?","","chunk-audio/007-01.mp3"
"007-02","日常","Would you like to …?","…しませんか？","2","Would you like to try this new restaurant?","","chunk-audio/007-02.mp3"
"007-03","ビジネス","Would you like to …?","…しませんか？","3","Would you like to schedule a short call this week?","","chunk-audio/007-03.mp3"
"008-01","日常","Do you mind if I …?","私が…しても構いませんか？","1","Do you mind if I open the window?","","chunk-audio/008-01.mp3"
